row_id,provider,method,path,operationId,summary,description,truth_class,confidence,reason,source_set
b0120,github,POST,/setup/api/upgrade,enterprise-admin/upgrade-license,Upgrade a license,"This API upgrades your license and also triggers the configuration process. **Note:** The request body for this operation must be submitted as `application/x-www-form-urlencoded` data. You can submit a parameter value as a string, or you can use a tool such as `curl` to submit a parameter value as the contents of a text file. For more information, see the [`curl` documentation](https://curl.se/docs/manpage.html#--data-urlencode).",x,high,e triggers configuration process,buildset-2026-09-18
b0121,github,POST,/orgs/{org}/packages/{package_type}/{package_name}/versions/{package_version_id}/restore,packages/restore-package-version-for-org,Restore package version for an organization,"Restores a specific package version in an organization. You can restore a deleted package under the following conditions:   - The package was deleted within the last 30 days.   - The same package namespace and version is still available and not reused for a new package. If the same package namespace is not available, you will not be able to restore your package. In this scenario, to restore the deleted package, you must delete the new package that uses the deleted package's namespace first. To u",w,high,explicit restore action reversible,buildset-2026-09-18
b0122,github,DELETE,/setup/api/settings/authorized-keys,enterprise-admin/remove-authorized-ssh-key,Remove an authorized SSH key,"**Note:** The request body for this operation must be submitted as `application/x-www-form-urlencoded` data. You can submit a parameter value as a string, or you can use a tool such as `curl` to submit a parameter value as the contents of a text file. For more information, see the [`curl` documentation](https://curl.se/docs/manpage.html#--data-urlencode).",x,high,DELETE method wins no restore named,buildset-2026-09-18
b0123,github,POST,/repos/{owner}/{repo}/releases/{release_id}/reactions,reactions/create-for-release,Create reaction for a release,Create a reaction to a [release](https://docs.github.com/rest/reference/repos#releases). A response with a `Status: 200 OK` means that you already added the reaction type to this release.,w,high,ii plain create reaction,buildset-2026-09-18
b0124,github,POST,/user/codespaces/{codespace_name}/exports,codespaces/export-for-authenticated-user,Export a codespace for the authenticated user,"Triggers an export of the specified codespace and returns a URL and ID where the status of the export can be monitored. If changes cannot be pushed to the codespace's repository, they will be pushed to a new or previously-existing fork instead. You must authenticate using a personal access token with the `codespace` scope to use this endpoint. GitHub Apps must have write access to the `codespaces_lifecycle_admin` repository permission to use this endpoint.",x,high,e triggers export job,buildset-2026-09-18
b0125,github,PATCH,/teams/{team_id}/discussions/{discussion_number}/comments/{comment_number},teams/update-discussion-comment,Update a discussion comment,Edits the body text of a discussion comment. OAuth access tokens require the `write:discussion` [scope](https://docs.github.com/enterprise-server@2.18/apps/building-oauth-apps/understanding-scopes-for-oauth-apps/).,w,high,PATCH default w edits comment,buildset-2026-09-18
b0126,github,PATCH,/repos/{owner}/{repo}/actions/cache/usage-policy,actions/set-actions-cache-usage-policy,Set GitHub Actions cache usage policy for a repository,Sets GitHub Actions cache usage policy for a repository. You must authenticate using an access token with the `repo` scope to use this endpoint. GitHub Apps must have the `actions:write` permission to use this endpoint.,w,high,patch default w,buildset-2026-09-18
b0127,github,POST,/repos/{owner}/{repo}/check-suites/{check_suite_id}/rerequest,checks/rerequest-suite,Rerequest a check suite,"Triggers GitHub to rerequest an existing check suite, without pushing new code to a repository. This endpoint will trigger the [`check_suite` webhook](https://docs.github.com/webhooks/event-payloads/#check_suite) event with the action `rerequested`. When a check suite is `rerequested`, its `status` is reset to `queued` and the `conclusion` is cleared. To rerequest a check suite, your GitHub App must have the `checks:read` permission on a private repository or pull access to a public repository.",x,high,e triggers rerun of check suite,buildset-2026-09-18
b0128,github,PUT,/orgs/{org}/actions/required_workflows/{required_workflow_id}/repositories/{repository_id},actions/add-selected-repo-to-required-workflow,Add a repository to a required workflow,"Adds a repository to a required workflow. To use this endpoint, the required workflow must be configured to run on selected repositories. You must authenticate using an access token with the `admin:org` scope to use this endpoint. For more information, see ""[Required Workflows](https://docs.github.com/actions/using-workflows/required-workflows).""",w,high,put default add to list,buildset-2026-09-18
b0129,github,POST,/admin/pre-receive-environments/{pre_receive_environment_id}/downloads,enterprise-admin/start-pre-receive-environment-download,Start a pre-receive environment download,"Triggers a new download of the environment tarball from the environment's `image_url`. When the download is finished, the newly downloaded tarball will overwrite the existing environment. If a download cannot be triggered, you will receive a `422 Unprocessable Entity` response. The possible error messages are: * _Cannot modify or delete the default environment_ * _Can not start a new download when a download is in progress_",x,high,e triggers download job overwrites,buildset-2026-09-18
b0130,github,PATCH,/orgs/{org}/teams/{team_slug}/team-sync/group-mappings,teams/create-or-update-idp-group-connections-in-org,Create or update IdP group connections,"Creates, updates, or removes a connection between a team and an IdP group. When adding groups to a team, you must include all new and existing groups to avoid replacing existing groups with the new ones. Specifying an empty `groups` array will remove all connections for a team. Team synchronization is available for organizations using GitHub Enterprise Cloud. For more information, see [GitHub's products](https://docs.github.com/enterprise-cloud@latest//github/getting-started-with-github/githubs-",w,high,patch default creates updates removes connections,buildset-2026-09-18
b0131,github,PUT,/repos/{owner}/{repo}/actions/permissions/workflow,actions/set-github-actions-default-workflow-permissions-repository,Set default workflow permissions for a repository,"Sets the default workflow permissions granted to the `GITHUB_TOKEN` when running workflows in a repository, and sets if GitHub Actions can submit approving pull request reviews. For more information, see ""[Setting the permissions of the GITHUB_TOKEN for your repository](https://docs.github.com/repositories/managing-your-repositorys-settings-and-features/enabling-features-for-your-repository/managing-github-actions-settings-for-a-repository#setting-the-permissions-of-the-github_token-for-your-rep",w,high,PUT default w sets permission,buildset-2026-09-18
b0132,github,POST,/repos/{owner}/{repo}/releases/{release_id}/assets,repos/upload-release-asset,Upload a release asset,This endpoint makes use of [a Hypermedia relation](https://docs.github.com/rest/overview/resources-in-the-rest-api#hypermedia) to determine which URL to access. The endpoint you call to upload release assets is specific to your release. Use the `upload_url` returned in the response of the [Create a release endpoint](https://docs.github.com/rest/releases/releases#create-a-release) to upload a release asset. You need to use an HTTP client which supports [SNI](http://en.wikipedia.org/wiki/Server_Na,w,high,ii plain create upload asset,buildset-2026-09-18
b0133,github,POST,/repos/{owner}/{repo}/actions/runs/{run_id}/pending_deployments,actions/review-pending-deployments-for-run,Review pending deployments for a workflow run,Approve or reject pending deployments that are waiting on approval by a required reviewer. Required reviewers with read access to the repository contents and deployments can use this endpoint. Required reviewers must authenticate using an access token with the `repo` scope to use this endpoint.,x,low,e approves triggers deployment run,buildset-2026-09-18
b0134,github,POST,/repos/{owner}/{repo}/transfer,repos/transfer,Transfer a repository,"A transfer request will need to be accepted by the new owner when transferring a personal repository to another user. The response will contain the original `owner`, and the transfer will continue asynchronously. For more details on the requirements to transfer personal and organization-owned repositories, see [about repository transfers](https://docs.github.com/articles/about-repository-transfers/).",x,low,c sends transfer request notification,buildset-2026-09-18
b0135,github,PUT,/gists/{gist_id}/star,gists/star,Star a gist,"Note that you'll need to set `Content-Length` to zero when calling out to this endpoint. For more information, see ""[HTTP verbs](https://docs.github.com/rest/overview/resources-in-the-rest-api#http-verbs).""",w,high,toggle star has unstar,buildset-2026-09-18
b0136,github,DELETE,/repos/{owner}/{repo}/issues/comments/{comment_id}/reactions/{reaction_id},reactions/delete-for-issue-comment,Delete an issue comment reaction,**Note:** You can also specify a repository by `repository_id` using the route `DELETE delete /repositories/:repository_id/issues/comments/:comment_id/reactions/:reaction_id`. Delete a reaction to an [issue comment](https://docs.github.com/rest/reference/issues#comments).,x,high,delete method wins removes reaction,buildset-2026-09-18
b0137,github,DELETE,/enterprise/announcement,enterprise-admin/remove-announcement,Remove the global announcement banner,Removes the global announcement banner in your enterprise.,x,high,a deletes announcement no restore,buildset-2026-09-18
b0138,github,DELETE,/repos/{owner}/{repo}/branches/{branch}/protection/restrictions,repos/delete-access-restrictions,Delete access restrictions,"Protected branches are available in public repositories with GitHub Free and GitHub Free for organizations, and in public and private repositories with GitHub Pro, GitHub Team, GitHub Enterprise Cloud, and GitHub Enterprise Server. For more information, see [GitHub's products](https://docs.github.com/github/getting-started-with-github/githubs-products) in the GitHub Help documentation. Disables the ability to restrict who can push to this branch.",x,high,DELETE removes restrictions config method wins x,buildset-2026-09-18
b0139,github,POST,/applications/{client_id}/token/scoped,apps/scope-token,Create a scoped access token,"Use a non-scoped user-to-server access token to create a repository scoped and/or permission scoped user-to-server access token. You can specify which repositories the token can access and which permissions are granted to the token. You must use [Basic Authentication](https://docs.github.com/rest/overview/other-authentication-methods#basic-authentication) when accessing this endpoint, using the `client_id` and `client_secret` of the GitHub App as the username and password. Invalid tokens will re",w,high,ii plain create of token,buildset-2026-09-18
b0140,github,PATCH,/orgs/{org}/teams/{team_slug}/external-groups,teams/link-external-idp-group-to-team-for-org,Update the connection between an external group and a team,"Creates a connection between a team and an external group.  Only one external group can be linked to a team. You can manage team membership with your identity provider using Enterprise Managed Users for GitHub Enterprise Cloud. For more information, see ""[GitHub's products](https://docs.github.com/enterprise-cloud@latest//github/getting-started-with-github/githubs-products)"" in the GitHub Help documentation.",w,high,PATCH default w creates connection,buildset-2026-09-18
b0141,github,PUT,/scim/v2/organizations/{org}/Users/{scim_user_id},scim/set-information-for-provisioned-user,Update a provisioned organization membership,"Replaces an existing provisioned user's information. You must provide all the information required for the user as if you were provisioning them for the first time. Any existing user information that you don't provide will be removed. If you want to only update a specific attribute, use the [Update an attribute for a SCIM user](https://docs.github.com/enterprise-cloud@latest//rest/reference/scim#update-an-attribute-for-a-scim-user) endpoint instead. You must at least provide the required values ",w,high,PUT default w replaces user info,buildset-2026-09-18
b0142,github,PUT,/repos/{owner}/{repo}/collaborators/{username},repos/add-collaborator,Add a repository collaborator,"This endpoint triggers [notifications](https://docs.github.com/github/managing-subscriptions-and-notifications-on-github/about-notifications). Creating content too quickly using this endpoint may result in secondary rate limiting. See ""[Secondary rate limits](https://docs.github.com/rest/overview/resources-in-the-rest-api#secondary-rate-limits)"" and ""[Dealing with secondary rate limits](https://docs.github.com/rest/guides/best-practices-for-integrators#dealing-with-secondary-rate-limits)"" for de",x,high,c sends notification to collaborator,buildset-2026-09-18
b0143,github,DELETE,/repos/{owner}/{repo}/pulls/{pull_number}/requested_reviewers,pulls/remove-requested-reviewers,Remove requested reviewers from a pull request,,x,high,DELETE method wins no restore named,buildset-2026-09-18
b0144,github,PUT,/orgs/{org}/teams/{team_slug}/repos/{owner}/{repo},teams/add-or-update-repo-permissions-in-org,Add or update team repository permissions,"To add a repository to a team or update the team's permission on a repository, the authenticated user must have admin access to the repository, and must be able to see the team. The repository must be owned by the organization, or a direct fork of a repository owned by the organization. You will get a `422 Unprocessable Entity` status if you attempt to add a repository to a team that is not owned by the organization. Note that, if you choose not to pass any parameters, you'll need to set `Conten",w,high,w edits team repo permission settable back,buildset-2026-09-18
b0145,github,POST,/user/codespaces/{codespace_name}/stop,codespaces/stop-for-authenticated-user,Stop a codespace for the authenticated user,Stops a user's codespace. You must authenticate using an access token with the `codespace` scope to use this endpoint. GitHub Apps must have write access to the `codespaces_lifecycle_admin` repository permission to use this endpoint.,w,high,w stops codespace can restart,buildset-2026-09-18
b0146,github,PUT,/user/codespaces/secrets/{secret_name}/repositories/{repository_id},codespaces/add-repository-for-secret-for-authenticated-user,Add a selected repository to a user secret,Adds a repository to the selected repositories for a user's codespace secret. You must authenticate using an access token with the `codespace` or `codespace:secrets` scope to use this endpoint. User must have Codespaces access to use this endpoint. GitHub Apps must have write access to the `codespaces_user_secrets` user permission and write access to the `codespaces_secrets` repository permission on the referenced repository to use this endpoint.,w,high,PUT adds repo settable back,buildset-2026-09-18
b0147,github,DELETE,/projects/{project_id},projects/delete,Delete a project,Deletes a project board. Returns a `404 Not Found` status if projects are disabled.,x,high,a deletes project no restore,buildset-2026-09-18
b0148,github,DELETE,/gists/{gist_id}/star,gists/unstar,Unstar a gist,,x,high,DELETE method wins no restore,buildset-2026-09-18
b0149,github,POST,/enterprises/{enterprise}/actions/runners/registration-token,enterprise-admin/create-registration-token-for-enterprise,Create a registration token for an enterprise,"Returns a token that you can pass to the `config` script. The token expires after one hour. You must authenticate using an access token with the `manage_runners:enterprise` scope to use this endpoint. #### Example using registration token Configure your self-hosted runner, replacing `TOKEN` with the registration token provided by this endpoint. ``` ./config.sh --url https://github.com/enterprises/octo-enterprise --token TOKEN ```",w,high,ii plain create registration token,buildset-2026-09-18
b0150,github,POST,/repos/{owner}/{repo}/git/blobs,git/create-blob,Create a blob,,w,high,ii plain create blob,buildset-2026-09-18
b0151,microsoft,DELETE,/security/attackSimulation/simulations/{simulation-id},security.attackSimulation.DeleteSimulations,Delete navigation property simulations for security,,x,high,DELETE method wins no restore,buildset-2026-09-18
b0152,microsoft,POST,/teams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/hostedContents,teams.channels.messages.CreateHostedContents,Create new navigation property to hostedContents for teams,,w,high,ii plain create of hostedContents,buildset-2026-09-18
b0153,microsoft,PATCH,/planner/plans/{plannerPlan-id},planner.UpdatePlans,Update the navigation property plans in planner,,w,high,w updates plan settable back,buildset-2026-09-18
b0154,microsoft,PATCH,/groups/{group-id}/sites/{site-id}/termStore/groups/{group-id1}/sets/{set-id}/terms/{term-id}/children/{term-id1},groups.sites.termStore.groups.sets.terms.UpdateChildren,Update the navigation property children in groups,,w,high,PATCH default w,buildset-2026-09-18
b0155,microsoft,DELETE,/sites/{site-id}/lists/{list-id}/contentTypes/{contentType-id},sites.lists.DeleteContentTypes,Delete navigation property contentTypes for sites,,x,high,a deletes content type no restore,buildset-2026-09-18
b0156,microsoft,DELETE,/groups/{group-id}/calendar/events/{event-id}/exceptionOccurrences/{event-id1}/instances/{event-id2}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id},groups.calendar.events.exceptionOccurrences.instances.DeleteMultiValueExtendedProperties,Delete navigation property multiValueExtendedProperties for groups,,x,high,DELETE method wins no restore,buildset-2026-09-18
b0157,microsoft,POST,/compliance/ediscovery/cases/{case-id}/noncustodialDataSources/microsoft.graph.ediscovery.removeHold,compliance.ediscovery.cases.case.noncustodialDataSources.removeHold,Invoke action removeHold,,w,low,toggle hold remove hold implied opposite,buildset-2026-09-18
b0158,microsoft,DELETE,/groups/{group-id}/sites/{site-id}/termStore/sets/{set-id}/children/{term-id}/relations/{relation-id},groups.sites.termStore.sets.children.DeleteRelations,Delete navigation property relations for groups,,x,high,DELETE method wins no restore named,buildset-2026-09-18
b0159,microsoft,DELETE,/sites/{site-id}/informationProtection/threatAssessmentRequests/{threatAssessmentRequest-id}/results/{threatAssessmentResult-id},sites.informationProtection.threatAssessmentRequests.DeleteResults,Delete navigation property results for sites,,x,high,DELETE no trash named,buildset-2026-09-18
b0160,microsoft,PATCH,/drives/{drive-id}/items/{driveItem-id}/workbook/worksheets/{workbookWorksheet-id}/charts/{workbookChart-id}/axes/valueAxis/minorGridlines/format,drives.items.workbook.worksheets.charts.axes.valueAxis.minorGridlines.UpdateFormat,Update the navigation property format in drives,,w,high,w updates format settable back,buildset-2026-09-18
b0161,microsoft,DELETE,/financials/companies/{company-id}/paymentMethods/{paymentMethod-id},financials.companies.DeletePaymentMethods,Delete navigation property paymentMethods for financials,,x,high,a deletes payment method no restore,buildset-2026-09-18
b0162,microsoft,PATCH,/print/reports/authenticationMethods,print.reports.UpdateAuthenticationMethods,Update the navigation property authenticationMethods in print,,w,high,PATCH default w,buildset-2026-09-18
b0163,microsoft,PATCH,/groups/{group-id}/onenote/sectionGroups/{sectionGroup-id},groups.onenote.UpdateSectionGroups,Update the navigation property sectionGroups in groups,,w,high,PATCH default w,buildset-2026-09-18
b0164,microsoft,DELETE,/users/{user-id}/calendars/{calendar-id}/calendarView/{event-id}/instances/{event-id1}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id},users.calendars.calendarView.instances.DeleteSingleValueExtendedProperties,Delete navigation property singleValueExtendedProperties for users,,x,high,a deletes property no restore,buildset-2026-09-18
b0165,microsoft,PATCH,/onPremisesPublishingProfiles/{onPremisesPublishingProfile-id}/agentGroups/{onPremisesAgentGroup-id}/publishedResources/{publishedResource-id},onPremisesPublishingProfiles.agentGroups.UpdatePublishedResources,Update the navigation property publishedResources in onPremisesPublishingProfiles,,w,high,PATCH default edit resource,buildset-2026-09-18
b0166,microsoft,PATCH,/me/calendar/calendarView/{event-id}/instances/{event-id1}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id},me.calendar.calendarView.instances.UpdateMultiValueExtendedProperties,Update the navigation property multiValueExtendedProperties in me,,w,high,w edits extended property,buildset-2026-09-18
b0167,microsoft,PATCH,/drives/{drive-id}/items/{driveItem-id}/analytics/itemActivityStats/{itemActivityStat-id}/activities/{itemActivity-id},drives.items.analytics.itemActivityStats.UpdateActivities,Update the navigation property activities in drives,,w,high,PATCH default edits activity,buildset-2026-09-18
b0168,microsoft,POST,/groups/{group-id}/calendar/events/{event-id}/microsoft.graph.dismissReminder,groups.group.calendar.events.event.dismissReminder,Invoke action dismissReminder,Dismiss a reminder that has been triggered for an event in a user calendar.,x,low,a clears reminder no restore named,buildset-2026-09-18
b0169,microsoft,PATCH,/deviceAppManagement/managedEBookCategories/{managedEBookCategory-id},deviceAppManagement.UpdateManagedEBookCategories,Update the navigation property managedEBookCategories in deviceAppManagement,,w,high,w edits ebook category,buildset-2026-09-18
b0170,microsoft,POST,/shares/{sharedDriveItem-id}/list/items,shares.list.CreateItems,Create a new item in a list,Create a new [listItem][] in a [list][].,w,high,ii plain create list item,buildset-2026-09-18
b0171,microsoft,DELETE,/sites/{site-id}/termStore/sets/{set-id}/parentGroup/sets/{set-id1}/relations/{relation-id},sites.termStore.sets.parentGroup.sets.DeleteRelations,Delete navigation property relations for sites,,x,high,a deletes relation no restore,buildset-2026-09-18
b0172,microsoft,POST,/users/{user-id}/calendar/calendarView/{event-id}/exceptionOccurrences/{event-id1}/multiValueExtendedProperties,users.calendar.calendarView.exceptionOccurrences.CreateMultiValueExtendedProperties,Create new navigation property to multiValueExtendedProperties for users,,w,high,ii plain create property,buildset-2026-09-18
b0173,microsoft,DELETE,/chats/{chat-id}/messages/{chatMessage-id}/replies/{chatMessage-id1},chats.messages.DeleteReplies,Delete navigation property replies for chats,,x,high,a deletes reply no restore,buildset-2026-09-18
b0174,microsoft,PATCH,/sites/{site-id}/lists/{list-id}/columns/{columnDefinition-id},sites.lists.UpdateColumns,Update the navigation property columns in sites,,w,high,PATCH default edit column,buildset-2026-09-18
b0175,microsoft,POST,/directoryRoleTemplates/microsoft.graph.validateProperties,directoryRoleTemplates.validateProperties,Invoke action validateProperties,"Validate that a Microsoft 365 group's display name or mail nickname complies with naming policies.  Clients can use this API to determine whether a display name or mail nickname is valid before trying to create a Microsoft 365 group. To validate the properties of an existing group, use the group: validateProperties function. The following policy validations are performed for the display name and mail nickname properties: 1. Validate the prefix and suffix naming policy 2. Validate the custom bann",r,high,i validates naming policy,buildset-2026-09-18
b0176,microsoft,DELETE,/me/joinedTeams/{team-id}/primaryChannel/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id},me.joinedTeams.primaryChannel.messages.replies.DeleteHostedContents,Delete navigation property hostedContents for me,,x,high,a deletes hostedContents no restore,buildset-2026-09-18
b0177,microsoft,PATCH,/planner/buckets/{plannerBucket-id}/tasks/{plannerTask-id}/progressTaskBoardFormat,planner.buckets.tasks.UpdateProgressTaskBoardFormat,Update the navigation property progressTaskBoardFormat in planner,,w,high,w updates format settable back,buildset-2026-09-18
b0178,microsoft,POST,/me/mailFolders/{mailFolder-id}/messages/{message-id}/mentions,me.mailFolders.messages.CreateMentions,Create new navigation property to mentions for me,,w,high,ii plain create mention,buildset-2026-09-18
b0179,microsoft,POST,/deviceManagement/reports/microsoft.graph.getAllCertificatesReport,deviceManagement.reports.getAllCertificatesReport,Invoke action getAllCertificatesReport,,r,low,i get report read-like ambiguous,buildset-2026-09-18
b0180,microsoft,DELETE,/security/cases/ediscoveryCases/{ediscoveryCase-id}/noncustodialDataSources/{ediscoveryNoncustodialDataSource-id},security.cases.ediscoveryCases.DeleteNoncustodialDataSources,Delete navigation property noncustodialDataSources for security,,x,high,a deletes data source no restore,buildset-2026-09-18
b0181,microsoft,PATCH,/drives/{drive-id}/items/{driveItem-id}/workbook/worksheets/{workbookWorksheet-id}/charts/{workbookChart-id}/axes,drives.items.workbook.worksheets.charts.UpdateAxes,Update the navigation property axes in drives,,w,high,w updates axes settable back,buildset-2026-09-18
b0182,microsoft,POST,/groups/{group-id}/sites/{site-id}/informationProtection/sensitivityLabels/{sensitivityLabel-id}/sublabels/microsoft.graph.evaluate,groups.group.sites.site.informationProtection.sensitivityLabels.sensitivityLabel.sublabels.evaluate,Invoke action evaluate,,r,low,i evaluate looks like calculation,buildset-2026-09-18
b0183,microsoft,PATCH,/drives/{drive-id}/items/{driveItem-id}/workbook/worksheets/{workbookWorksheet-id}/pivotTables/{workbookPivotTable-id},drives.items.workbook.worksheets.UpdatePivotTables,Update the navigation property pivotTables in drives,,w,high,PATCH default w,buildset-2026-09-18
b0184,microsoft,DELETE,/identityGovernance/entitlementManagement/accessPackageAssignmentResourceRoles/{accessPackageAssignmentResourceRole-id}/accessPackageResourceRole,identityGovernance.entitlementManagement.accessPackageAssignmentResourceRoles.DeleteAccessPackageResourceRole,Delete navigation property accessPackageResourceRole for identityGovernance,,x,high,a deletes role no restore,buildset-2026-09-18
b0185,microsoft,POST,/deviceManagement/depOnboardingSettings/{depOnboardingSetting-id}/microsoft.graph.uploadDepToken,deviceManagement.depOnboardingSettings.depOnboardingSetting.uploadDepToken,Invoke action uploadDepToken,Uploads a new Device Enrollment Program token,w,high,ii plain create uploads token,buildset-2026-09-18
b0186,microsoft,POST,/teams/{team-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/microsoft.graph.setReaction,teams.team.channels.channel.messages.chatMessage.replies.chatMessage.setReaction,Invoke action setReaction,,w,low,D98 ruling: comment/reaction is w,buildset-2026-09-18
b0187,microsoft,DELETE,/me/calendarGroups/{calendarGroup-id}/calendars/{calendar-id}/events/{event-id}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id},me.calendarGroups.calendars.events.DeleteMultiValueExtendedProperties,Delete navigation property multiValueExtendedProperties for me,,x,high,a deletes property no restore,buildset-2026-09-18
b0188,microsoft,POST,/identityGovernance/accessReviews/decisions/{accessReviewInstanceDecisionItem-id}/instance/decisions/microsoft.graph.recordAllDecisions,identityGovernance.accessReviews.decisions.accessReviewInstanceDecisionItem.instance.decisions.recordAllDecisions,Invoke action recordAllDecisions,"As a reviewer of an access review, record a decision for an accessReviewInstanceDecisionItem that is assigned to you and that matches the principal or resource IDs specified. If no IDs are specified, the decisions will apply to every **accessReviewInstanceDecisionItem** for which you are the reviewer.",w,low,w records decision settable-like ambiguous,buildset-2026-09-18
b0189,microsoft,PATCH,/identityGovernance/lifecycleWorkflows/settings,identityGovernance.lifecycleWorkflows.UpdateSettings,Update lifecycleManagementSettings (tenant settings for Lifecycle Workflows),Update the properties of a lifecycleManagementSettings object.,w,high,w edits lifecycle settings,buildset-2026-09-18
b0190,microsoft,DELETE,/users/{user-id}/onlineMeetings/{onlineMeeting-id}/transcripts/{callTranscript-id},users.onlineMeetings.DeleteTranscripts,Delete navigation property transcripts for users,,x,high,DELETE method wins no restore,buildset-2026-09-18
b0191,microsoft,PATCH,/users/{user-id}/insights/shared/{sharedInsight-id},users.insights.UpdateShared,Update the navigation property shared in users,,w,high,PATCH default edits shared insight,buildset-2026-09-18
b0192,microsoft,PATCH,/teamwork/deletedTeams/{deletedTeam-id}/channels/{channel-id}/messages/{chatMessage-id}/replies/{chatMessage-id1}/hostedContents/{chatMessageHostedContent-id},teamwork.deletedTeams.channels.messages.replies.UpdateHostedContents,Update the navigation property hostedContents in teamwork,,w,high,w edits hosted content,buildset-2026-09-18
b0193,microsoft,POST,/servicePrincipals/{servicePrincipal-id}/synchronization/jobs,servicePrincipals.synchronization.CreateJobs,Create synchronizationJob,Create new synchronization job with a default synchronization schema. The job is created in a disabled state. Call Start job to start synchronization.,w,high,ii creates job disabled not run,buildset-2026-09-18
b0194,microsoft,DELETE,/deviceManagement/complianceManagementPartners/{complianceManagementPartner-id},deviceManagement.DeleteComplianceManagementPartners,Delete navigation property complianceManagementPartners for deviceManagement,,x,high,delete method no trash,buildset-2026-09-18
b0195,microsoft,POST,/users/{user-id}/contactFolders/{contactFolder-id}/childFolders,users.contactFolders.CreateChildFolders,Create ContactFolder,Create a new contactFolder as a child of a specified folder.  You can also create a new contactFolder under the user's default contact folder.,w,high,ii plain create of folder,buildset-2026-09-18
b0196,microsoft,PATCH,/users/{user-id}/profile/patents/{itemPatent-id},users.profile.UpdatePatents,Update the navigation property patents in users,,w,high,w edits patents field,buildset-2026-09-18
b0197,microsoft,POST,/users/{user-id}/calendar/events/{event-id}/exceptionOccurrences/{event-id1}/instances/{event-id2}/microsoft.graph.dismissReminder,users.user.calendar.events.event.exceptionOccurrences.event.instances.event.dismissReminder,Invoke action dismissReminder,Dismiss a reminder that has been triggered for an event in a user calendar.,x,low,unsure dismiss reminder not undoable tighter x,buildset-2026-09-18
b0198,microsoft,DELETE,/me/calendarGroups/{calendarGroup-id}/calendars/{calendar-id}/events/{event-id}/instances/{event-id1}/exceptionOccurrences/{event-id2}/singleValueExtendedProperties/{singleValueLegacyExtendedProperty-id},me.calendarGroups.calendars.events.instances.exceptionOccurrences.DeleteSingleValueExtendedProperties,Delete navigation property singleValueExtendedProperties for me,,x,high,a deletes property no restore,buildset-2026-09-18
b0199,microsoft,PATCH,/identityGovernance/entitlementManagement/accessPackageCatalogs/{accessPackageCatalog-id}/accessPackageResourceScopes/{accessPackageResourceScope-id}/accessPackageResource/accessPackageResourceRoles/{accessPackageResourceRole-id},identityGovernance.entitlementManagement.accessPackageCatalogs.accessPackageResourceScopes.accessPackageResource.UpdateAccessPackageResourceRoles,Update the navigation property accessPackageResourceRoles in identityGovernance,,w,high,patch default w,buildset-2026-09-18
b0200,microsoft,PATCH,/deviceManagement/userExperienceAnalyticsDeviceScores/{userExperienceAnalyticsDeviceScores-id},deviceManagement.UpdateUserExperienceAnalyticsDeviceScores,Update the navigation property userExperienceAnalyticsDeviceScores in deviceManagement,,w,high,w edits device score,buildset-2026-09-18
b0201,microsoft,DELETE,/groups/{group-id}/planner/plans/{plannerPlan-id}/buckets/{plannerBucket-id}/tasks/{plannerTask-id}/assignedToTaskBoardFormat,groups.planner.plans.buckets.tasks.DeleteAssignedToTaskBoardFormat,Delete navigation property assignedToTaskBoardFormat for groups,,x,high,a deletes taskboard format no restore,buildset-2026-09-18
b0202,microsoft,PATCH,/agreements/{agreement-id}/acceptances/{agreementAcceptance-id},agreements.UpdateAcceptances,Update the navigation property acceptances in agreements,,w,high,w edits acceptance record,buildset-2026-09-18
b0203,microsoft,DELETE,/users/{user-id}/calendar/calendarView/{event-id}/instances/{event-id1}/multiValueExtendedProperties/{multiValueLegacyExtendedProperty-id},users.calendar.calendarView.instances.DeleteMultiValueExtendedProperties,Delete navigation property multiValueExtendedProperties for users,,x,high,a deletes extended property no restore,buildset-2026-09-18
b0204,microsoft,DELETE,/education/users/{educationUser-id}/assignments/{educationAssignment-id}/submissions/{educationSubmission-id}/resources/{educationSubmissionResource-id},education.users.assignments.submissions.DeleteResources,Delete navigation property resources for education,,x,high,a deletes resource no restore,buildset-2026-09-18
b0205,microsoft,PATCH,/applications/{application-id}/synchronization,applications.UpdateSynchronization,Update the navigation property synchronization in applications,,w,high,PATCH default edits synchronization,buildset-2026-09-18
b0206,microsoft,POST,/me/calendars/{calendar-id}/events/{event-id}/exceptionOccurrences/{event-id1}/multiValueExtendedProperties,me.calendars.events.exceptionOccurrences.CreateMultiValueExtendedProperties,Create new navigation property to multiValueExtendedProperties for me,,w,high,ii plain create property,buildset-2026-09-18
b0207,microsoft,PATCH,/connections/{externalConnection-id}/groups/{externalGroup-id}/members/{identity-id},connections.groups.UpdateMembers,Update the navigation property members in connections,,w,high,w edits connection members,buildset-2026-09-18
