set,repo,method,path,operationId,tool_class,gt_class,rule_id,words_fired,confidence,summary,description_first_sentence,description_rest,reader_reason,state_effect,external_effect,doubt
camara-test,RegionDeviceCount,POST,/count,count,x,r,L1-structural,"structural=callbacks,sink",high,API operation to get the device count in the specified area during a certain time interval.,Get the number of devices in the specified area during a certain time interval.,"- The query area can be a circle or a polygon composed of longitude and latitude points. - If the areaType is circle, the circleCenter and circleRadius must be provided; if the area is a polygon, the point list must be provided. - If starttime and endtime are not passed in,this api should return the current number of devices in the area. - If the device appears in the specified area at least once during the certain time interval, it should be counted.","The /count operation only computes and returns ""the number of devices in the specified area during a certain time interval,"" whether delivered synchronously or via the caller's own sink, without altering any resource.",none,none,
camara-test,SimSwap,POST,/retrieve-age-band,retrieveSimSwapAgeBand,x,r,L2-danger-verb,verbs=sent,high,Retrieve SIM swap age band,"Returns a standardized `simSwapAgeBand` value indicating how recently a SIM swap occurred, expressed as a time band.","This operation is an alternative way to expose SIM swap recency for API providers that do not expose the exact SIM swap date. It does not return the actual SIM swap date, and is not expected to be supported in addition to `check` and `retrieve-date`; support depends on the provider's available capabilities and commercial use case. The returned value is a technical network signal indicating recency. Consuming parties apply their own decisioning outside the API contract. Value `111` indicates the provider positively confirms a SIM swap has never happened and the number has never been ported (a s","retrieve-age-band ""returns a standardized simSwapAgeBand value"" as a computed read, explicitly noted to not return or alter any state.",none,none,
camara-test,SponsoredData,POST,/campaign/management,manageCampaign,x,w,L2-danger-verb,verbs=halt,high,Campaign Management,This operation allows pausing or resuming a campaign based on the action parameter provided in the request body.,"The possible values for action are: - PAUSE to temporarily halt new sponsorships (ongoing sponsorships will continue until completion). - RESUME to reactivate the campaign. If the campaign has already ended, the API will respond with a 400 error, indicating that the campaign is finished and cannot be modified. Pausing a campaign does not extend its end date or overall duration.","manageCampaign only toggles the campaign between ""PAUSE to temporarily halt new sponsorships"" and ""RESUME to reactivate the campaign,"" a status-set operation with the same end state however often it is applied.",idempotent,none,
camara-test,Tenure,POST,/check-tenure,checkTenure,x,r,L3-live-noun,nouns=network verb=the,low,The KYC Tenure service API,"Verifies a specified length of tenure, based on a provided date, for a network subscriber to establish a level of trust for the network subscription identifier.",,"checkTenure only verifies ""a specified length of tenure ... to establish a level of trust,"" returning a boolean with nothing created or changed.",none,none,
camara-test,VerifiedCaller,PUT,/registrations/{registrationId},updateRegistration,x,w,L1-structural,structural=sink,high,Update an existing brand registration in the service platform,Update an existing brand registration,,"updateRegistration replaces a ""Request object to create or update (replace) a brand registration,"" a create-or-replace write with the same end state regardless of repetition.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{Sid}.json,UpdateAccount,x,w,L5-floor,verb=modify,method-only,Modify the properties of a given Account,Modify the properties of a given Account,,"The description says this operation modifies an existing Account's FriendlyName and Status, a set-style update that has the same result no matter how many times it's applied.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,UpdateAddress,x,w,L5-floor,verb=update,method-only,,,,"Summary and description are empty; the requestBody sets fields like FriendlyName, Street, City on an existing Address identified by {Sid}, a set-on-existing-resource update with no external party involved.",idempotent,none,unclear: no text
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,UpdateApplication,x,w,L5-floor,verb=update,method-only,Updates the application's properties,Updates the application's properties,,"The op updates the application's stored callback URLs and settings such as VoiceUrl and StatusCallback, a same-effect-on-repeat set of an existing resource.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,DeleteCall,x,w,L3-live-noun,nouns=call verb=delete,low,"Delete a Call record from your account. Once the record is deleted, it will no longer appear in the API and Account Portal logs.",Delete a Call record from your account.,"Once the record is deleted, it will no longer appear in the API and Account Portal logs.","Delete a Call record from your account, so it no longer appears in the API and Account Portal logs; deleting an already-deleted record has no further effect.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Recordings/{Sid}.json,DeleteCallRecording,x,w,L3-live-noun,nouns=call verb=delete,low,Delete a recording from your account,Delete a recording from your account,,"""Delete a recording from your account"" removes the caller's own recording by {Sid}; a repeat delete leaves the same deleted state and touches no one else.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Conferences/{ConferenceSid}/Recordings/{Sid}.json,DeleteConferenceRecording,x,w,L3-live-noun,nouns=conference verb=delete,low,Delete a recording from your account,Delete a recording from your account,,"""Delete a recording from your account"" removes the caller's own stored recording with no one else affected, repeatable to the same 204 result.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/ConnectApps/{Sid}.json,UpdateConnectApp,x,w,L5-floor,verb=update,method-only,Update a connect-app with the specified parameters,Update a connect-app with the specified parameters,,"Summary 'Update a connect-app with the specified parameters' sets fields like company_name and homepage_url on an existing ConnectApp and returns the same sid, a create-or-replace update with no third-party reach.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{Sid}.json,UpdateIncomingPhoneNumber,x,w,L5-floor,verb=update,method-only,Update an incoming-phone-number instance.,Update an incoming-phone-number instance.,,"The summary 'Update an incoming-phone-number instance' describes an idempotent field update (FriendlyName, callback URLs, etc.) on the account's own existing number resource.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/IncomingPhoneNumbers/{ResourceSid}/AssignedAddOns/{Sid}.json,DeleteIncomingPhoneNumberAssignedAddOn,x,w,L3-live-noun,nouns=installation verb=remove,low,Remove the assignment of an Add-on installation from the Number specified.,Remove the assignment of an Add-on installation from the Number specified.,,"Summary says it removes the assignment of an Add-on installation from the caller's own phone number, an idempotent unassignment of the caller's own resource.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Keys/{Sid}.json,UpdateKey,x,w,L5-floor,verb=update,method-only,,,,"No summary or description; the request body only accepts FriendlyName and the 200 response returns the same Key sid with updated friendly_name, an idempotent field update on the caller's own resource.",idempotent,none,unclear: no text
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Media/{Sid}.json,DeleteMedia,x,w,L3-live-noun,"nouns=media,message verb=delete",low,Delete the Media resource.,Delete the Media resource.,,Delete the Media resource removes a single owned media file with no stated effect on anyone else.,idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages/{Sid}.json,UpdateMessage,x,w,L2-danger-verb,"verbs=cancel,sent",high,Update a Message resource (used to redact Message `body` text and to cancel not-yet-sent messages),Update a Message resource (used to redact Message `body` text and to cancel not-yet-sent messages),,"""Update a Message resource (used to redact Message body text and to cancel not-yet-sent messages)"" sets Body or Status on an existing Message by {Sid}; redacting or cancelling changes the caller's own record and does not itself reach a recipient.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Messages/{Sid}.json,DeleteMessage,x,w,L3-live-noun,nouns=message verb=delete,low,Deletes a Message resource from your account,Deletes a Message resource from your account,,The summary 'Deletes a Message resource from your account' removes only the caller's own message record with no effect on any other party stated.,idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Messages/{MessageSid}/Feedback.json,CreateMessageFeedback,x,w,L3-live-noun,nouns=message verb=create,low,Create Message Feedback to confirm a tracked user action was performed by the recipient of the associated Message,Create Message Feedback to confirm a tracked user action was performed by the recipient of the associated Message,,"The response schema has no sid field and always resolves to the same Feedback.json URI per message, indicating the Outcome value is set on one feedback record rather than a new one being created each call.",idempotent,none,"conflict: operationId says Create but the response is a single object with a fixed /Feedback.json URI and no per-call sid, so it behaves as an idempotent set rather than a new resource each call"
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds/{Sid}.json,UpdateOutgoingCallerId,x,w,L3-live-noun,nouns=call verb=update,low,Updates the caller-id,Updates the caller-id,,"Summary 'Updates the caller-id' changes only the friendly_name of an existing OutgoingCallerId and returns the same sid, an idempotent update.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/OutgoingCallerIds/{Sid}.json,DeleteOutgoingCallerId,x,w,L3-live-noun,nouns=call verb=delete,low,Delete the caller-id specified from the account,Delete the caller-id specified from the account,,"""Delete the caller-id specified from the account"" removes the caller's own verified caller ID by {Sid}, an idempotent delete with no third party affected.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Queues/{Sid}.json,UpdateQueue,x,w,L5-floor,verb=update,method-only,Update the queue with the new parameters,Update the queue with the new parameters,,"Update the queue with the new parameters only changes the FriendlyName and MaxSize configuration values, with no live call action described.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Recordings/{ReferenceSid}/AddOnResults/{Sid}.json,DeleteRecordingAddOnResult,x,w,L2-danger-verb,"verbs=pay,purg",high,Delete a result and purge all associated Payloads,Delete a result and purge all associated Payloads,,"""Delete a result and purge all associated Payloads"" removes the caller's own add-on result data, idempotent on repeat.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Recordings/{ReferenceSid}/AddOnResults/{AddOnResultSid}/Payloads/{Sid}.json,DeleteRecordingAddOnResultPayload,x,w,L2-danger-verb,verbs=pay,high,Delete a payload from the result along with all associated Data,Delete a payload from the result along with all associated Data,,Summary 'Delete a payload from the result along with all associated Data' removes the caller's own stored Add-on result payload with no third party involved.,idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SMS/ShortCodes/{Sid}.json,UpdateShortCode,x,w,L3-live-noun,nouns=sms verb=update,low,Update a short code with the following parameters,Update a short code with the following parameters,,"The summary 'Update a short code with the following parameters' sets FriendlyName and callback URLs on the account's own ShortCode resource, an idempotent field update.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SigningKeys/{Sid}.json,UpdateSigningKey,x,w,L5-floor,verb=update,method-only,,,,"The only writable field on this request is FriendlyName, an idempotent rename of the caller's own signing key.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/CredentialListMappings/{Sid}.json,DeleteSipAuthCallsCredentialListMapping,x,w,L3-live-noun,nouns=call verb=delete,low,Delete a credential list mapping from the requested domain,Delete a credential list mapping from the requested domain,,"""Delete a credential list mapping from the requested domain"" removes an existing mapping by {Sid} from the caller's own SIP domain configuration, an idempotent delete with no third party.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{DomainSid}/Auth/Calls/IpAccessControlListMappings/{Sid}.json,DeleteSipAuthCallsIpAccessControlListMapping,x,w,L3-live-noun,"nouns=access,call verb=delete",low,Delete an IP Access Control List mapping from the requested domain,Delete an IP Access Control List mapping from the requested domain,,Delete an IP Access Control List mapping from the requested domain removes a caller-owned SIP configuration mapping.,idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{CredentialListSid}/Credentials/{Sid}.json,UpdateSipCredential,x,w,L5-floor,verb=update,method-only,Update a credential resource.,Update a credential resource.,,"The summary 'Update a credential resource' sets the Password field on the account's own existing SIP credential, an idempotent replace.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/CredentialLists/{Sid}.json,UpdateSipCredentialList,x,w,L5-floor,verb=update,method-only,Update a Credential List,Update a Credential List,,Summary 'Update a Credential List' sets only friendly_name on the existing CredentialList and returns the same sid.,idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/Domains/{Sid}.json,UpdateSipDomain,x,w,L5-floor,verb=update,method-only,Update the attributes of a domain,Update the attributes of a domain,,"Summary 'Update the attributes of a domain' rewrites configuration fields like voice_url and secure on the existing SipDomain and returns the same sid, a create-or-replace update.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{Sid}.json,UpdateSipIpAccessControlList,x,w,L5-floor,verb=rename,method-only,Rename an IpAccessControlList,Rename an IpAccessControlList,,Rename an IpAccessControlList only sets the FriendlyName text field on the caller's own list.,idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/SIP/IpAccessControlLists/{IpAccessControlListSid}/IpAddresses/{Sid}.json,UpdateSipIpAddress,x,w,L5-floor,verb=update,method-only,Update an IpAddress resource.,Update an IpAddress resource.,,"Update an IpAddress resource sets IpAddress, FriendlyName, and CidrPrefixLength on the caller's own allow-list entry.",idempotent,none,
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/Siprec/{Sid}.json,UpdateSiprec,x,w,L2-danger-verb,verbs=stop,high,Stop a Siprec using either the SID of the Siprec resource or the `name` used when creating the resource,Stop a Siprec using either the SID of the Siprec resource or the `name` used when creating the resource,,"""Stop a Siprec using either the SID of the Siprec resource or the name used when creating the resource"" sets Status=stopped on an existing Siprec resource by {Sid}; stopping an already-stopped recording session leaves the same state and the call itself is not disconnected.",idempotent,none,unclear: whether ending the media feed to the external SIPREC recording server counts as reaching a third party is not stated
holdout-twilio,twilio,POST,/2010-04-01/Accounts/{AccountSid}/Usage/Triggers/{Sid}.json,UpdateUsageTrigger,x,w,L2-danger-verb,verbs=trigger,high,Update an instance of a usage trigger,Update an instance of a usage trigger,,"""Update an instance of a usage trigger"" sets CallbackUrl, CallbackMethod, or FriendlyName on an existing UsageTrigger by {Sid}, an idempotent set on the caller's own resource.",idempotent,none,
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Usage/Triggers/{Sid}.json,DeleteUsageTrigger,x,w,L2-danger-verb,verbs=trigger,high,,,,"With no summary or description, the plain 204 DELETE removes only the caller's own UsageTrigger configuration with no third party stated.",idempotent,none,unclear: no summary/description text
holdout-twilio,twilio,DELETE,/2010-04-01/Accounts/{AccountSid}/Calls/{CallSid}/UserDefinedMessageSubscriptions/{Sid}.json,DeleteUserDefinedMessageSubscription,x,w,L3-live-noun,"nouns=call,message verb=delete",low,Delete a specific User Defined Message Subscription.,Delete a specific User Defined Message Subscription.,,"""Delete a specific User Defined Message Subscription"" removes the caller's own subscription by {Sid}, an idempotent delete with no third party named.",idempotent,none,
holdout-stripe,stripe,DELETE,/v1/accounts/{account}/people/{person},DeleteAccountsAccountPeoplePerson,x,w,L2-danger-verb,verbs=execut,high,Delete a person,Deletes an existing person’s relationship to the account’s legal entity.,"Any person with a relationship for an account can be deleted through the API, except if the person is the representative . If your integration is using the executive parameter, you cannot delete the only verified executive on file.","Description says it deletes an existing person's relationship to the account's legal entity, removing the caller's own connected-account record with no message sent to that person.",idempotent,none,
holdout-stripe,stripe,DELETE,/v1/accounts/{account}/persons/{person},DeleteAccountsAccountPersonsPerson,x,w,L2-danger-verb,verbs=execut,high,Delete a person,Deletes an existing person’s relationship to the account’s legal entity.,"Any person with a relationship for an account can be deleted through the API, except if the person is the representative . If your integration is using the executive parameter, you cannot delete the only verified executive on file.","""Deletes an existing person's relationship to the account's legal entity"" removes a record the platform account itself manages about that person's role; the endpoint only forbids deleting the representative or last verified executive, and names no notification or third party.",idempotent,none,
holdout-stripe,stripe,DELETE,/v1/apple_pay/domains/{domain},DeleteApplePayDomainsDomain,x,w,L2-danger-verb,verbs=pay,high,,Delete an apple pay domain.,,The description 'Delete an apple pay domain' removes only the caller's own registered domain configuration with no third party stated.,idempotent,none,unclear: terse description
holdout-stripe,stripe,DELETE,/v1/invoices/{invoice},DeleteInvoicesInvoice,x,w,L2-danger-verb,"verbs=cannot be undone,permanent",high,Delete a draft invoice,Permanently deletes a one-off invoice draft.,"This cannot be undone. Attempts to delete invoices that are no longer in a draft state will fail; once an invoice has been finalized or if an invoice is for a subscription, it must be voided .","The description restricts this to ""a one-off invoice draft,"" one never finalized or sent to a customer, so deleting it only removes the merchant's own not-yet-used record.",idempotent,none,
holdout-stripe,stripe,DELETE,/v1/subscription_items/{item},DeleteSubscriptionItemsItem,x,w,L2-danger-verb,verbs=cancel,high,Delete a subscription item,Deletes an item from the subscription.,Removing a subscription item from a subscription will not cancel the subscription.,Description 'Deletes an item from the subscription' with a default proration_behavior of create_prorations removes the caller's own subscription item without cancelling the subscription or immediately charging anyone.,idempotent,none,
holdout-github,github,DELETE,/enterprises/{enterprise}/code-security/configurations/{configuration_id},code-security/delete-configuration-for-enterprise,x,w,L3-live-noun,nouns=access verb=delete,low,Delete a code security configuration for an enterprise,Deletes a code security configuration from an enterprise.,Repositories attached to the configuration will retain their settings but will no longer be associated with the configuration. The authenticated user must be an administrator for the enterprise to use this endpoint. OAuth app tokens and personal access tokens (classic) need the `admin:enterprise` scope to use this endpoint.,"""Deletes a code security configuration from an enterprise. Repositories attached to the configuration will retain their settings but will no longer be associated with the configuration"" is a caller-owned config delete that leaves repositories untouched and names no third party.",idempotent,none,
holdout-github,github,PUT,/enterprises/{enterprise}/dependabot/repository-access/default-level,dependabot/set-repository-access-default-level-for-enterprise,x,w,L3-live-noun,"nouns=access,grant verb=set",low,Set the default repository access level for Dependabot in an enterprise,Sets the default level of repository access Dependabot will have while performing an update across organizations in the enterprise.,"Available values are: - 'public' - Dependabot will only have access to public repositories, unless access is explicitly granted to non-public repositories. - 'internal' - Dependabot will only have access to public and internal repositories, unless access is explicitly granted to private repositories. The authenticated user must be an enterprise owner to use this endpoint.","The summary 'Set the default repository access level for Dependabot in an enterprise' assigns one of two enum values, an idempotent configuration set.",idempotent,none,
holdout-github,github,DELETE,/notifications/threads/{thread_id},activity/mark-thread-as-done,x,w,L2-danger-verb,verbs=notif,high,Mark a thread as done,"Marks a thread as ""done."" Marking a thread as ""done"" is equivalent to marking a notification in your notification inbox on GitHub as done: https://github.com/notifications.",,"Description equates this to marking the caller's own notification inbox item as done, an idempotent status change with no third party.",idempotent,none,
holdout-github,github,PUT,/organizations/{org}/actions/cache/storage-limit,actions/set-actions-cache-storage-limit-for-organization,x,w,L3-live-noun,nouns=access verb=set,low,Set GitHub Actions cache storage limit for an organization,Sets GitHub Actions cache storage limit for an organization.,All organizations and repositories under this organization may not set a higher cache storage limit. OAuth tokens and personal access tokens (classic) need the `admin:organization` scope to use this endpoint.,"""Sets GitHub Actions cache storage limit for an organization"" is a set-value config operation on the org's own settings, idempotent and with no external party.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/actions/hosted-runners/images/custom/{image_definition_id}/versions/{version},actions/delete-custom-image-version-from-org,x,w,L3-live-noun,nouns=access verb=delete,low,Delete an image version of custom image from the organization,Delete an image version of custom image from the organization.,OAuth tokens and personal access tokens (classic) need the `manage_runners:org` scope to use this endpoint.,The summary 'Delete an image version of custom image from the organization' removes the org's own custom runner image version with no third party stated.,idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/permissions,actions/set-github-actions-permissions-organization,x,w,L3-live-noun,"nouns=access,permission verb=set",low,Set GitHub Actions permissions for an organization,Sets the GitHub Actions permissions policy for repositories and allowed actions and reusable workflows in an organization.,OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint.,Sets the GitHub Actions permissions policy for repositories and allowed actions in an organization is a create-or-replace policy setting scoped to the org itself.,idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/permissions/repositories,actions/set-selected-repositories-enabled-github-actions-organization,x,w,L3-live-noun,"nouns=access,permission verb=set",low,Set selected repositories enabled for GitHub Actions in an organization,Replaces the list of selected repositories that are enabled for GitHub Actions in an organization.,"To use this endpoint, the organization permission policy for `enabled_repositories` must be configured to `selected`. For more information, see ""[Set GitHub Actions permissions for an organization](#set-github-actions-permissions-for-an-organization)."" OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint.","""Replaces the list of selected repositories that are enabled for GitHub Actions"" is a set/replace of the org's own configuration list, giving the same end state no matter how many times it's called.",idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/permissions/self-hosted-runners,actions/set-self-hosted-runners-permissions-organization,x,w,L3-live-noun,"nouns=access,permission verb=set",low,Set self-hosted runners settings for an organization,Sets the settings for self-hosted runners for an organization.,"OAuth app tokens and personal access tokens (classic) need the `admin:org` scope or the ""Actions policies"" fine-grained permission to use this endpoint.","Sets the enabled_repositories policy enum (all/selected/none) for the org's self-hosted runners, an idempotent configuration set with a 204 response and no external party.",idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/permissions/workflow,actions/set-github-actions-default-workflow-permissions-organization,x,w,L3-live-noun,"nouns=access,grant,permission verb=set",low,Set default workflow permissions for an organization,"Sets the default workflow permissions granted to the `GITHUB_TOKEN` when running workflows in an organization, and sets if GitHub Actions can submit approving pull request reviews.","For more information, see ""[Setting the permissions of the GITHUB_TOKEN for your organization](https://docs.github.com/organizations/managing-organization-settings/disabling-or-limiting-github-actions-for-your-organization#setting-the-permissions-of-the-github_token-for-your-organization)."" OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint.","""Sets the default workflow permissions granted to the GITHUB_TOKEN when running workflows in an organization"" is an idempotent set of the org's own default permissions with no third party affected.",idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/runner-groups/{runner_group_id}/repositories/{repository_id},actions/add-repo-access-to-self-hosted-runner-group-in-org,x,w,L3-live-noun,nouns=access verb=add,low,Add repository access to a self-hosted runner group in an organization,Adds a repository to the list of repositories that can access a self-hosted runner group.,"The runner group must have `visibility` set to `selected`. For more information, see ""[Create a self-hosted runner group for an organization](#create-a-self-hosted-runner-group-for-an-organization)."" OAuth tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint.","The summary 'Add repository access to a self-hosted runner group in an organization' adds a repo to an allowed-access set, an idempotent membership set.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/actions/runners/{runner_id},actions/delete-self-hosted-runner-from-org,x,w,L3-live-noun,nouns=access verb=delete,low,Delete a self-hosted runner from an organization,Forces the removal of a self-hosted runner from an organization.,"You can use this endpoint to completely remove the runner when the machine you were using no longer exists. Authenticated users must have admin access to the organization to use this endpoint. OAuth tokens and personal access tokens (classic) need the`admin:org` scope to use this endpoint. If the repository is private, OAuth tokens and personal access tokens (classic) need the `repo` scope to use this endpoint.","You can use this endpoint to completely remove the runner when the machine you were using no longer exists, so it deregisters the org's own defunct compute resource.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/actions/secrets/{secret_name},actions/delete-org-secret,x,w,L3-live-noun,nouns=access verb=delete,low,Delete an organization secret,Deletes a secret in an organization using the secret name.,"Authenticated users must have collaborator access to a repository to create, update, or read secrets. OAuth tokens and personal access tokens (classic) need the`admin:org` scope to use this endpoint. If the repository is private, OAuth tokens and personal access tokens (classic) need the `repo` scope to use this endpoint.","""Deletes a secret in an organization using the secret name"" removes the org's own stored secret value, idempotent and with no external party involved.",idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/secrets/{secret_name}/repositories/{repository_id},actions/add-selected-repo-to-org-secret,x,w,L3-live-noun,nouns=access verb=add,low,Add selected repository to an organization secret,Adds a repository to an organization secret when the `visibility` for repository access is set to `selected`.,"For more information about setting the visibility, see [Create or update an organization secret](https://docs.github.com/rest/actions/secrets#create-or-update-an-organization-secret). Authenticated users must have collaborator access to a repository to create, update, or read secrets. OAuth tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint. If the repository is private, OAuth tokens and personal access tokens (classic) need the `repo` scope to use this endpoint.",Description 'Adds a repository to an organization secret' when visibility is selected is a set-membership addition to the caller's own org secret scoping.,idempotent,none,
holdout-github,github,PUT,/orgs/{org}/actions/variables/{name}/repositories/{repository_id},actions/add-selected-repo-to-org-variable,x,w,L3-live-noun,nouns=access verb=add,low,Add selected repository to an organization variable,Adds a repository to an organization variable that is available to selected repositories.,"Organization variables that are available to selected repositories have their `visibility` field set to `selected`. Authenticated users must have collaborator access to a repository to create, update, or read secrets. OAuth tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint. If the repository is private, OAuth tokens and personal access tokens (classic) need the `repo` scope to use this endpoint.","""Adds a repository to an organization variable that is available to selected repositories"" adds one repository id to a selection list; repeating the add leaves the same repository in the list, an idempotent membership change with no third party.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/agents/secrets/{secret_name}/repositories/{repository_id},agents/remove-selected-repo-from-org-secret,x,w,L3-live-noun,nouns=access verb=remove,low,Remove selected repository from an organization secret,Removes a repository from an organization secret when the `visibility` for repository access is set to `selected`.,"The visibility is set when you [Create or update an organization secret](https://docs.github.com/rest/agents/secrets#create-or-update-an-organization-secret). Authenticated users must have collaborator access to a repository to create, update, or read secrets. OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint. If the repository is private, the `repo` scope is also required.","The summary 'Remove selected repository from an organization secret' removes the repo from the org secret's own selected-access list, an idempotent membership change.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/agents/variables/{name}/repositories/{repository_id},agents/remove-selected-repo-from-org-variable,x,w,L3-live-noun,nouns=access verb=remove,low,Remove selected repository from an organization variable,Removes a repository from an organization agent variable that is available to selected repositories.,"Organization variables that are available to selected repositories have their `visibility` field set to `selected`. Authenticated users must have collaborator access to a repository to create, update, or read variables. OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint. If the repository is private, the `repo` scope is also required.","Ruled w by the orchestrator: the affected repository is the caller's own organisation's configuration, not a person or external party; matches the twin row agents/remove-selected-repo-from-org-secret which the readers classed w.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/blocks/{username},orgs/unblock-user,x,w,L2-danger-verb,verbs=block,high,Unblock a user from an organization,Unblocks the given user on behalf of the specified organization.,,"""Unblocks the given user on behalf of the specified organization"" restores rather than revokes access, so it doesn't meet the third-party revocation bar for x.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/code-security/configurations/{configuration_id},code-security/delete-configuration,x,w,L3-live-noun,nouns=access verb=delete,low,Delete a code security configuration,Deletes the desired code security configuration from an organization.,Repositories attached to the configuration will retain their settings but will no longer be associated with the configuration. The authenticated user must be an administrator or security manager for the organization to use this endpoint. OAuth app tokens and personal access tokens (classic) need the `write:org` scope to use this endpoint.,"Description explicitly says repositories attached 'will retain their settings but will no longer be associated with the configuration', so no other party's state or access is revoked.",idempotent,none,
holdout-github,github,DELETE,/orgs/{org}/codespaces/secrets/{secret_name},codespaces/delete-org-secret,x,w,L3-live-noun,nouns=access verb=delete,low,Delete an organization secret,Deletes an organization development environment secret using the secret name.,OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint.,"""Deletes an organization development environment secret using the secret name"" removes the org's own stored secret, an idempotent delete with no third party.",idempotent,none,
holdout-github,github,PUT,/orgs/{org}/codespaces/secrets/{secret_name}/repositories/{repository_id},codespaces/add-selected-repo-to-org-secret,x,w,L3-live-noun,nouns=access verb=add,low,Add selected repository to an organization secret,Adds a repository to an organization development environment secret when the `visibility` for repository access is set to `selected`.,The visibility is set when you [Create or update an organization secret](https://docs.github.com/rest/codespaces/organization-secrets#create-or-update-an-organization-secret). OAuth app tokens and personal access tokens (classic) need the `admin:org` scope to use this endpoint.,"The summary 'Add selected repository to an organization secret' adds a repo to the org secret's own selected-access list, an idempotent membership set.",idempotent,none,
