set,repo,path,method,operationId,summary,description
camara,NetworkSliceBooking,/slices/{sliceId},GET,getSlice,Get network slcie booking information,"Querying for network slcie booking resource information details. NOTES: - According to sliceId, the API consumer can retrieve information about an existing slice, including the service time, service area, and QoS profile. - If the slice is deleted, the API consumer will receive a response with code `404 - Not Found`."
camara,NumberRecycling,/check,POST,checkNumberRecycling,Check whether the subscriber of the phone number has changed.,Check whether the subscriber of the phone number has changed.
camara,NumberVerification,/verify,POST,phoneNumberVerify,Verifies if the received hashed/plain text phone number matches the phone number associated with the access token,Verifies if the specified phone number (either in plain text or hashed format) matches the one that the user is currently using. Only one of the plain or hashed formats must be provided. - The number verification will be done for the user that has authenticated via mobile network - It returns true/false depending on if the hashed phone number received as input matches the authenticated user's `device phone number` associated to the access token
camara,NumberVerification,/device-phone-number,GET,phoneNumberShare,Returns the phone number associated with the access token,Returns the phone number so the API clients can verify the number themselves: - It will be done for the user that has authenticated via mobile network - It returns the authenticated user's `device phone number` associated to the access token
camara,OTPValidation,/send-code,POST,sendCode,Sends a message including an OTP code to the given phone number,Sends an SMS with the desired message and an OTP code to the received phone number.
camara,OTPValidation,/validate-code,POST,validateCode,Verifies the OTP received as input,Verifies the code is valid for the received authenticationId
camara,OptimalEdgeDiscovery,/regions,GET,getRegions,Fetch all Regions,This is a helper API to get all the regions. The response identifies the regions where edge cloud zones are available.
camara,OptimalEdgeDiscovery,/retrieve-optimal-edge-cloud-zones,POST,discoverOptimalEdge,Discover optimal edge cloud zones for deployed applications,"Returns a list of optimal edge cloud zones where you can register your deployed application. The `applicationProfileId` is required; optionally, device information and a preferred `edgeCloudRegion` may also be specified."
camara,PopulationDensityData,/retrieve,POST,retrievePopulationDensity,Retrieves population density information in a specified area,Retrieves population density estimation together with the estimation range related for a time slot for a given area (described as a polygon) as a data set consisting of a sequence of equally-sized objects covering the input polygon area.
camara,PredictiveConnectivityData,/retrieve,POST,retrieveConnectivity,Obtain connectivity information in the specified area,"Retrieves the connectivity for a concrete area, specifying the required service level that has to be met in the whole area in the requested network type/s. Optionally, raw signal strength values can be included in the response if supported by the implementation."
camara,QoSBooking,/qos-bookings,POST,createBooking,This operation reserves required QoS in advance up to a certain number of devices in certain serviceArea and time slot. The devices have to be attached with a subsequent operation.,"This operation reserves a Quality of Service (QoS) booking for a specified number of devices, service area, and scheduled time/duration. Devices can be assigned to the booking at any time after the reservation is successful and before the scheduled end-time. - `Pre-assigned devices :` These devices will be automatically provisioned and activated with the requested QoS profile exactly when the scheduled start time arrives. - `Late-assigned devices:` Devices assigned after the schedule starts (but before it ends) will be provisioned and activated with the requested QoS profile immediately upon a"
camara,QoSBooking,/qos-bookings/{bookingId},GET,getBookingById,Get the Booking information for a given QoS Booking identified by `bookingId`.,"This operation is synchronous and retrieves the details of an existing Quality of Service (QoS) booking using its unique identifier (`bookingId`). This `bookingId` is the identifier returned by the initial booking operation upon successful creation. Response Scenarios: - `HTTP 200 (status: SUCCESSFUL):` The booking details are successfully retrieved and returned in the response body along with the remaining number of devices still can be assigned to the booking. - `HTTP 4xx (Failure Condition) :` The request failed, and an appropriate HTTP 4xx error code is returned with a specific status and "
camara,QoSBooking,/qos-bookings/{bookingId},DELETE,deleteBooking,This operation cancels an existing QoS Booking and release the associated resources.,This operation cancels and deletes a specific QoS booking using its unique identifier and releases the resources related to that booking. It supports both synchronous and asynchronous processing. Constraints & Notes: - The Quality of Service (QoS) booking must have been created by the same API client identified in the access token. - The SUCCESSFUL and FAILURE conditions for a deletion are dependent on the operator's specific implementation. - Operators SHOULD properly document their `Booking Cancellation` behavior with clear policies and the respective terms and conditions. Response Scenarios
camara,QoSBooking,/qos-bookings/{bookingId}/devices/assign,POST,assignDevices,Assign one or more devices to an existing QoS Booking identified by `bookingId`,"This endpoint allows the end user to assign one or more devices to the existing QoS Booking. - If the assignment is successful for all the devices, the call will return 201 success code with status `SUCCESSFUL` and the network is available for the said devices to connect and use them at the requested time - If the assignment request failed for some reason, this call we be retured with 4xx error code with appropirate status codes - This is an asynchronous call, and status = `PENDING` if the network is still working on your request. A callback will come with appropriate status. - If the network "
camara,QoSBooking,/qos-bookings/{bookingId}/devices,GET,getDevicesByBookingId,Get the list of devices assigned to an existing QoS Booking,"This endpoint allows the end user to retrieve the list of devices assigned to the existing QoS Booking. - status = `SUCCESSFUL` if the operation is successful - status = `FAILURE` if the operation is unsuccessful then the `statusInfo` will have more information. - GET may not return the identifying details of all the devices assigned to the booking. There are certain situations, identifying details of certain devices can't be disclosed because of privacy laws, jurisdiction restrictions, and some legal requirements. In such a situation the operator SHOULD properly communicate this to the API co"
camara,QoSBooking,/qos-bookings/{bookingId}/devices/release,POST,releaseDevices,Release one or more devices from the given QoS Booking,"This endpoint will release one or more assigned devices. The timing of the release depends on the current status: - `Before the scheduled time:` The release will be mostly immediate. - `After the scheduled time (devices active):` The release may take time as the system needs to free up associated resources. A callback notification will be sent once the devices are successfully released, provided one is registered with the device assignment. This endpoint functions in both synchronous and asynchronous modes. - If the device is assigned using 3-legged access token: - If the device is active, the"
camara,QoSBooking,/qos-bookings/retrieve,POST,retrieveBookingByDevice,Retrieves all the bookings that corresponds to a device,"Querying for QoS Booking resource information details for a device. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The QoS Booking must have been created by the same API client given in the access token. - If no QoS booking is found for the requested device, an empty a"
camara,QoSBooking,/device-qos-bookings,POST,createBooking,Sets a new booking of QoS for a device,"Triggers a new booking to assign certain QoS Profile to certain device. - If the booking is completed synchronously, the response will be 201 with `bookingStatus` = `SCHEDULED`. - If the booking request is accepted but not yet completed, the response will be 201 with `bookingStatus` = `REQUESTED`. - If the operator determines synchronously that the booking request cannot be fulfilled, the response will be 201 with `bookingStatus` = `TERMINATED` and `statusInfo` = `BOOKING_DECLINED`. - If the request includes a notification callback, the client will receive a `status-changed` event with the out"
camara,QoSBooking,/device-qos-bookings/{bookingId},GET,getBookingById,Get QoS Booking information,"Querying for QoS Booking information details **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. - The QoS Booking must have been created by the same API client given in the access token."
camara,QoSBooking,/device-qos-bookings/{bookingId},DELETE,deleteBooking,Deletes a QoS Booking,"Release resources related to a QoS Booking. If the notification callback is provided and the booking status was `REQUESTED`, `SCHEDULED` or `ACTIVATED`, when the deletion is completed, the client will receive, in addition to the response, a `BOOKING_STATUS_CHANGED` event with - `bookingStatus` as `TERMINATED` and - `statusInfo` as `DELETE_REQUESTED` There will be no notification event if the `bookingStatus` was already `TERMINATED`. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be as"
camara,QoSBooking,/retrieve-device-qos-bookings,POST,retrieveBookingByDevice,Gets the QoS Booking for a device,"Querying for QoS Booking resource information details for a device. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS Booking must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The QoS Booking must have been created by the same API client given in the access token. - If no QoS booking is found for the requested device, an empty a"
camara,QualityOnDemand,/retrieve-qos-profiles,POST,retrieveQosProfiles,Retrieve QoS profiles,"Returns all QoS Profiles that match the given criteria. **NOTES:** - The access token may be either a 2-legged or 3-legged access token. - If the access token is 3-legged, all returned QoS Profiles will be available to the subject (device) associated with the access token. - If the access token is 2-legged and a device filter is provided, all returned QoS Profiles will be available to that device. If multiple device identifiers are provided within the device property, only QoS Profiles available to the device identifier chosen by the implementation will be returned, even if the identifiers do "
camara,QualityOnDemand,/qos-profiles/{name},GET,getQosProfile,Get QoS Profile for a given name,"Returns a QoS Profile that matches the given name. The access token may be either a 2-legged or 3-legged access token. If the access token is 3-legged, a QoS Profile is only returned if available to all subjects associated with the access token."
camara,QualityOnDemand,/qos-assignments,POST,createQosAssignment,Triggers the provisioning process for the assignment of a QoS profile to a device,"Initiates the assignment of a specific QoS profile to a given device when connected to the operator's network. - If the QoS profile assignment is completed synchronously, the response will be 201 with `status` = `AVAILABLE`. - If the QoS profile assignment request is accepted but not yet completed, the response will be 201 with `status` = `REQUESTED`. - If the operator determines synchronously that the QoS profile assignment request cannot be fulfilled, the response will be 201 with `status` = `UNAVAILABLE`. - If the request includes the `sink` and `sinkCredential` properties, the client will "
camara,QualityOnDemand,/qos-assignments/{assignmentId},GET,getQosAssignmentById,Get the QoS profile assignment information identified by an assignment record ID,"Querying for details about the QoS profile assignment **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS profile assignment must also be associated with the access token. - The QoS profile assignment must have been created by the same API consumer given in the access token."
camara,QualityOnDemand,/qos-assignments/{assignmentId},DELETE,revokeQosAssignment,Revokes a QoS profile assignment identified by an assignment record ID,"Revokes the assignment of a QoS profile to a device performed by a previous assignment operation. If the notification callback is provided and the assignment status was `AVAILABLE`, when the process is completed, the API consumer will receive in addition to the response a `ASSIGNMENT_STATUS_CHANGED` event with - `status` as `UNAVAILABLE` and - `statusInfo` as `DELETE_REQUESTED` There will be no notification event if the `status` was already `UNAVAILABLE`. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the QoS "
camara,QualityOnDemand,/retrieve-qos-assignment,POST,getQosAssignmentByDevice,Returns the assignment record details of the QoS profile assignment for a device,"Returns the details of the record for the assignment of a QoS profile to a device, if any. **NOTES:** - The access token may be either 2-legged or 3-legged. See ""Identifying the device from the access token"" for further information - When the API is invoked using a two-legged access token, the subject will be identified from the optional `device` object, which therefore MUST be provided. - When a three-legged access token is used however, this optional identifier MUST NOT be provided, as the subject will be uniquely identified from the access token. - The QoS profile assignment must have been "
camara,QualityOnDemand,/sessions,POST,createSession,Creates a new session,"Create QoS Session to manage latency/throughput priorities If the qosStatus in the API response is ""AVAILABLE"" and a notification callback is provided the API consumer will receive in addition to the response a `QOS_STATUS_CHANGED` event notification with `qosStatus` as `AVAILABLE`. If the `qosStatus` in the API response is `REQUESTED`, the client will receive either - a `QOS_STATUS_CHANGED` event notification with `qosStatus` as `AVAILABLE` after the network notifies that it has created the requested session, or - a `QOS_STATUS_CHANGED` event notification with `qosStatus` as `UNAVAILABLE` and"
camara,QualityOnDemand,/sessions/{sessionId},GET,getSession,Get QoS session information,"Querying for QoS session resource information details **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the end user (and device) associated with the session must also be associated with the access token. - The session must have been created by the same API client given in the access token"
camara,QualityOnDemand,/sessions/{sessionId},DELETE,deleteSession,Delete a QoS session,"Release resources related to QoS session If the notification callback is provided and the `qosStatus` of the session was `AVAILABLE` the client will receive in addition to the response a `QOS_STATUS_CHANGED` event with - `qosStatus` as `UNAVAILABLE` and - `statusInfo` as `DELETE_REQUESTED` There will be no notification event if the `qosStatus` was already `UNAVAILABLE`. **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the session must also be associated with the access token. - The session must must have been cr"
camara,QualityOnDemand,/sessions/{sessionId}/extend,POST,extendQosSessionDuration,Extend the duration of an active session,"Extend the overall session duration of an active QoS session (with qosStatus = AVAILABLE). The overall duration of the QoS session, including the additional extended duration, shall not exceed the maximum duration limit fixed for the QoS Profile. If the current duration plus the value of `requestedAdditionalDuration` exceeds the maximum limit, the new overall duration shall be capped to the maximum value allowed. An example: For a QoS profile limited to a `maxDuration` of 50,000 seconds, a QoS session was originally created with duration 30,000 seconds. Before the session expires, the API cons"
camara,QualityOnDemand,/retrieve-sessions,POST,retrieveSessionsByDevice,Get QoS session information for a device,"Querying for QoS session resource information details for a device **NOTES:** - The access token may be either 2-legged or 3-legged. - If a 3-legged access token is used, the subject associated with the session must also be associated with the access token. In this case the optional `device` parameter MUST NOT be provided in the request. - If a 2-legged access token is used, the device parameter must be provided and identify a device. - The session must have been created by the same API consumer given in the access token - If no QoS session is found for the requested device, an empty array is "
camara,RegionDeviceCount,/count,POST,count,API operation to get the device count in the specified area during a certain time interval.,"Get the number of devices in the specified area during a certain time interval. - The query area can be a circle or a polygon composed of longitude and latitude points. - If the areaType is circle, the circleCenter and circleRadius must be provided; if the area is a polygon, the point list must be provided. - If starttime and endtime are not passed in,this api should return the current number of devices in the area. - If the device appears in the specified area at least once during the certain time interval, it should be counted."
camara,SessionInsights,/sessions,POST,createSession,Create a Session Insights session,"Create a new insights session for monitoring application performance and network quality. The session can be used to send application-observed metrics, receive session quality scores asynchronously via notifications, and receive root cause analysis when quality degrades. The session is created using a selected Application Profile, which defines the expected performance thresholds and other parameters."
camara,SessionInsights,/sessions/{sessionId},GET,getSession,Get session by sessionId,Retrieve the details of a specific session by its operator-assigned session ID.
camara,SessionInsights,/sessions/{sessionId},DELETE,deleteSession,Delete session,Delete an insights session by its operator-assigned session ID. This will stop all notifications and metric reporting for the session.
camara,SessionInsights,/retrieve-sessions,POST,retrieveSessionsByDevice,Retrieve Session Insights sessions by device,"Retrieve all Session Insights sessions for a given device. **Notes:** - This operation allows retrieving all active or historical sessions associated with a device. - It uses POST instead of GET to allow passing sensitive device identifiers in the body, per CAMARA guidelines. - The request must include a `device` object if using a two-legged token. If using a three-legged token, do not provide a `device` as the device is derived from the token."
camara,SessionInsights,/sessions/{sessionId}/metrics,POST,sendSessionMetrics,Send session metrics,"Send application-observed session metrics to the API provider for the specified session. The API provider uses these metrics to evaluate session quality and delivers a session quality notification asynchronously to the session's configured sink. This operation returns 204 No Content to acknowledge receipt; the resulting quality score is delivered via notification, not in this response."
camara,SimSwap,/subscriptions,POST,createSimSwapSubscription,Create a sim swap event subscription for a phone number,Create a sim swap event subscription for a phone number
camara,SimSwap,/subscriptions,GET,retrieveSubscriptionList,Retrieve a list of sim swap event subscription,Retrieve a list of sim swap event subscription(s)
camara,SimSwap,/subscriptions/{subscriptionId},GET,retrieveSubscription,Retrieve a sim swap event subscription for a phone number,retrieve event subscription information for a given subscription.
camara,SimSwap,/subscriptions/{subscriptionId},DELETE,deleteSubscription,Delete a sim swap event subscription,delete a given event subscription.
camara,SimSwap,/retrieve-date,POST,retrieveSimSwapDate,Retrieve SIM swap date,Get timestamp of last SIM swap event for a mobile user account provided with phone number.
camara,SimSwap,/check,POST,checkSimSwap,Check SIM swap,Check if SIM swap has been performed during a past period
camara,SimSwap,/retrieve-age-band,POST,retrieveSimSwapAgeBand,Retrieve SIM swap age band,"Returns a standardized `simSwapAgeBand` value indicating how recently a SIM swap occurred, expressed as a time band. This operation is an alternative way to expose SIM swap recency for API providers that do not expose the exact SIM swap date. It does not return the actual SIM swap date, and is not expected to be supported in addition to `check` and `retrieve-date`; support depends on the provider's available capabilities and commercial use case. The returned value is a technical network signal indicating recency. Consuming parties apply their own decisioning outside the API contract. Value `11"
camara,SimpleEdgeDiscovery,/retrieve-closest-edge-cloud-zone,POST,readClosestEdgeCloudZone,Returns the name of the Edge Cloud Zone closest to user device identified in the request.,"On receiving this request, the network will return the name of the Edge Cloud Zone with the shortest network path to the end user device identified in the request."
camara,SponsoredData,/sponsorship,POST,startSponsorship,Start Sponsorship Session Request,"This operation requests the sponsorship for a subscriber in a specific campaign, allowing them to use sponsored data within the limits set by this request or those defined in the campaign onboarding declaration by default."
camara,SponsoredData,/sponsorship/{sponsorId}/{campaignId}/{sessionId}/session-status,GET,getSessionStatus,Sponsorship Session Status Inquiry,"Queries detailed information about a sponsorship session for a specific campaign and sponsor. NOTES: The access token for this query must be a 2-legged token, and the sponsor must have been previously authorized with a 3-legged token at the time of session initiation. The session must have been created by the same API client indicated in the access token."
camara,SponsoredData,/sponsorship/{sponsorId}/{campaignId}/{sessionId}/revoke,DELETE,revokeSponsorship,Revocation of Sponsorship,"This operation revokes an active sponsorship, preventing further use of sponsored data for the subscriber."
camara,SponsoredData,/campaign/{sponsorId}/{campaignId}/campaign-status,GET,getCampaignStatus,"Campaign Status Inquiry [active, paused, concluded], data volume balance.","Retrieves the current status of a specific sponsorship campaign for a given sponsor. Provides information such as whether the campaign is active, paused, or completed, along with key metadata like start and end dates, data volume limits, and any configured alerts. This endpoint allows sponsoring companies to monitor the progress and operational state of their campaigns."
camara,SponsoredData,/campaign/{sponsorId}/{campaignId}/active-sponsorships,GET,getActiveSponsorships,Query of Active Sponsorships,Returns the list of users currently benefiting from sponsored data under a specific campaign. Each entry includes identifiers and session information to track which end users are actively consuming sponsored data. Useful for reporting and campaign analytics.
camara,SponsoredData,/campaign/{sponsorId}/{campaignId}/alert-subscription,POST,configureAlerts,Campaigns - Subscription to Alert y Notifications,"This operation enables Sponsors (EPs) to subscribe to receive notifications related to campaigns. With the subscription, the EP provides a webhook URL and a token, which will be used by the API Gateway to send notifications related to the campaign. In this API version, only two types of alerts are provided: - Notification for consuming more than 80% of the contracted data volume. - Notification for campaign validity expiration. - Notification for campaign data volume exhausted. - Alerts for network failures will be addressed in future versions."
camara,SponsoredData,/campaign/management,POST,manageCampaign,Campaign Management,"This operation allows pausing or resuming a campaign based on the action parameter provided in the request body. The possible values for action are: - PAUSE to temporarily halt new sponsorships (ongoing sponsorships will continue until completion). - RESUME to reactivate the campaign. If the campaign has already ended, the API will respond with a 400 error, indicating that the campaign is finished and cannot be modified. Pausing a campaign does not extend its end date or overall duration."
camara,SubscriptionStatus,/retrieve-subscription-status,POST,retrieveSubscriptionStatus,Retrieve subscription status of a phone number,"Obtain the business subscription status of the provided phone number, including Voice/SMS inbound, Voice/SMS outbound, and data service status."
camara,Tenure,/check-tenure,POST,checkTenure,The KYC Tenure service API,"Verifies a specified length of tenure, based on a provided date, for a network subscriber to establish a level of trust for the network subscription identifier."
camara,TrafficInfluence,/traffic-influences,GET,getAllTrafficInfluences,Retries existing TrafficInfluence Resources,Reads all of the active TrafficInfluence resources owned by the same API Consumer
camara,TrafficInfluence,/traffic-influences,POST,postTrafficInfluence,Creates a new TrafficInfluence resource influencing the traffic toward local instances of the Application for any user.,"Takes as input an object containing the intents from the API Consumer and creates a TrafficInfluence resource accordingly. The trafficInfluenceID parameter, that is part of the object, must not be valorized when creating a new resource. For this reason the trafficInfluenceID parameter must be avoided in the object, anyway it will be ignored by the API Producer. It is automatically generated by the system and returned in the response."
camara,TrafficInfluence,/traffic-influence-devices,POST,postTrafficInfluenceDevice,Creates a new TrafficInfluence resource influencing the traffic toward local instances of the Application for a specific user.,"Takes as input an object containing the intents from the API Consumer and creates a TrafficInfluence resource accordingly. The trafficInfluenceID parameter, that is part of the object, must not be valorized when creating a new resource. For this reason the trafficInfluenceID parameter must be avoided in the object, anyway it will be ignored by the API Producer. It is automatically generated by the system and returned in the response."
camara,TrafficInfluence,/traffic-influences/{trafficInfluenceID},GET,getTrafficInfluenceById,Reads a specific TrafficInfluence resource identified by the trafficInfluenceID value.,"Returns a specific TrafficInfluence resources owned by the same API Consumer. For privacy reasons, if a resource is related to a user, the parameter Device is not exchanged."
camara,TrafficInfluence,/traffic-influences/{trafficInfluenceID},PATCH,patchTrafficInfluence,"updates a specific TrafficInfluence resource, identified by the trafficInfluenceID value. If used for a specific user, the Device parameter can not be modified.","The resource identified by the trafficInfluenceID value can be modified. Before the PATCH can be invoked the status (state) of the resource must be ""active"". If not an error code 409 (DENIED_WAIT) is returned."
camara,TrafficInfluence,/traffic-influences/{trafficInfluenceID},DELETE,deleteTrafficInfluence,Delete an existing TrafficInfluence resource,"invoked by the API Consumer to stop influencing the traffic, deleting a TrafficInfluence resource previously created. The notification will be sent via Cloud Event with the information already available in the TrafficInfluence resource identified by ""trafficInfluenceID""."
camara,VerifiedCaller,/registrations,POST,createRegistration,Register new brand information in the service platform,Register new brand information with optional call verification request.
camara,VerifiedCaller,/registrations,GET,readRegistrations,Read existing brand registrations from the service platform,"Read existing brand registrations from the service platform. ## Filtering The following query parameters are RECOMMENDED filters for this operation. They are all optional. API providers MAY implement any subset of them based on their capabilities; the supported set for a given provider is documented on that provider's Exposition Gateway ""Getting Started"" page (filter support is not intended to be discovered through HTTP error responses). - `customerId` - filter by enterprise/brand owner identifier. - `displayName` - filter by the display name registered for the brand. - `status` - filter by re"
camara,VerifiedCaller,/registrations/{registrationId},GET,readRegistration,Read an existing brand registration from the service platform,Read an existing brand registration from the service platform
camara,VerifiedCaller,/registrations/{registrationId},DELETE,deleteRegistration,Delete an existing brand registration from the service platform,Delete an existing brand registration from the service platform
camara,VerifiedCaller,/registrations/{registrationId},PUT,updateRegistration,Update an existing brand registration in the service platform,Update an existing brand registration
camara,VerifiedCaller,/pre-announce,POST,createPreAnnouncement,Create a call pre-announcement in the service platform,Create a call pre-announcement for a Calling and a Called Party that will remain valid for a specified duration.
camara,WebRTC,/sessions,POST,createSession,Creates voice and/or video session,Creates a voice and/or video session
camara,WebRTC,/sessions/{mediaSessionId},GET,getSessionDetailsById,Get the media session information,Get the media Session description based on `mediaSessionId`. ** The client shall construct the API path using the `mediaSessionId` supplied in the session creation response (origination) or in the invitation notification (termination). **
camara,WebRTC,/sessions/{mediaSessionId},DELETE,deleteSessionById,Cancel or Terminate the media session,"Cancel a 1-1 media session (as originator), Decline a 1-1 media session (as receiver), Terminate a 1-1 an ongoing media session ** The client shall construct the API path using the mediaSessionId supplied in the session creation response (origination) or in the invitation notification (termination). **'"
camara,WebRTC,/sessions/{mediaSessionId}/status,PUT,updateSessionStatus,Update the status of the media session,"Update the status of the media session, this may include updating SDP media The API consumer shall construct the API path using the `mediaSessionId` supplied in the session creation response (origination) or in the invitation notification (termination). The party making the update MAY include `locationDetails` to share their device location. When included in an answer/accept step (e.g., status `Connected` with an answer SDP), `locationDetails` describes the answering party's device location. After call establishment, either party MAY provide or update their location by including `locationDetai"
camara,WebRTC,/subscriptions,POST,createNotificationChannelSubscription,Create a webrtc-events event subscription,"Create a webrtc-events event subscription. For the corresponding type: - `org.camaraproject.webrtc-events-subscriptions.v0.session-invitation`: new calls event - `org.camaraproject.webrtc-events-subscriptions.v0.session-status`: updates on specific call - `org.camaraproject.webrtc-events-subscriptions.v0.registration-ends`: registration termination event To subscribe and receive notifications about new calls, a `session-invitation` subscription is required using the `deviceId` related to a valid registration. For WebRTC calling subscription scenarios, developers should not use `initialEvent` o"
camara,WebRTC,/subscriptions,GET,retrieveNotificationChannelSubscriptionList,Retrieve a list of webrtc-events event subscription,Retrieve **a list** of webrtc-events subscription(s) with detailed information. Including configuration data and current status.
camara,WebRTC,/subscriptions/{subscriptionId},GET,retrieveNotificationChannelSubscription,Retrieve a webrtc-events event subscription,Retrieve webrtc-events subscription detailed information for a given subscription. Including configuration data and current status.
camara,WebRTC,/subscriptions/{subscriptionId},PUT,updateNotificationChannelSubscription,Update a webrtc-events event subscription,"Update a given webrtc-events subscription without changing its identity. This operation is idempotent. Repeating the same update request results in the same final subscription state. Either or both of the following attributes may be updated: - `sinkCredential` - `config.subscriptionExpireTime` The subscription `sink`, event types, and `config.subscriptionDetail` are not modified by this operation."
camara,WebRTC,/subscriptions/{subscriptionId},DELETE,deleteNotificationChannelSubscription,Delete a webrtc-events event subscription,API endpoint to delete a given webrtc-events subscription. Action done to stop receiving notifications about this event subscription.
camara,WebRTC,/sessions,GET,getRegistrationsByDeviceId,Retrieve all registrations for a device,"Retrieve the active registrations associated with a given `deviceId` that are authorized for the access token used in the request. This endpoint allows an API consumer to recover registration state after a network disconnection or application restart, where the `registrationId` has been lost but the `deviceId` is known. Because `deviceId` is a client-generated identifier and is NOT guaranteed to be globally unique, the same `deviceId` value may be shared across registrations bound to different `phoneNumber`s. Only the registrations bound to a `phoneNumber` authorized by the access token are re"
camara,WebRTC,/sessions,POST,createRegistration,Create a registration,"Create a new device registration in the network using a client-supplied `deviceId`. The subscriber identifier (`phoneNumber`) for the registration depends on the type of access token used: - With a **three-legged access token**, the API consumer MUST NOT include `phoneNumber` in the request body; it is resolved server-side from the token. A request that includes it is rejected with `422 UNNECESSARY_IDENTIFIER`. - With a **two-legged access token**, the API consumer MUST include `phoneNumber` in the request body, since the token carries no subscriber identity. A request that omits it is rejecte"
camara,WebRTC,/sessions/{registrationId},GET,getRegistrationById,Retrieve a device registration,"Retrieve an existing registration by its `registrationId`. This endpoint allows an API consumer to confirm whether a registration is still active and retrieve its current state. A typical use case is state recovery after a network disconnection or application restart, where the client has a previously stored `registrationId` and needs to verify it is still valid before attempting to create calls or subscribe to events. Returns `404` if the registration does not exist or has expired."
camara,WebRTC,/sessions/{registrationId},PUT,updateRegistrationById,Refresh network registration.,"API endpoint used to **refresh** an existing registration *before* it expires. **Server behaviour on refresh** 1. Let `t_req` be the server-side receipt time of the request and `t_prev` the previously stored `registrationExpireTime`. 2. Compute the remaining lifetime remaining = t_prev - t_req (values ≤ 0 indicate the client is late; operators MAY reject or treat it as a new registration). 3. Apply the operator's configured TTL (`TTL_cfg`, e.g. 3600 s) **from `t_req`, not from `t_prev`**: newExpire = t_req + TTL_cfg 4. Persist `newExpire` and return it in `expiresAt` inside the response body. "
camara,WebRTC,/sessions/{registrationId},DELETE,deleteRegistrationById,Delete Registration Session.,API endpoint used to remove a valid registration on the network. This action frees any resource and invalidates future actions that involves this registration between the device and the network. Use the registrationId to identify the registration to delete.
camara,eSimRemoteManagement,/profile/result/query,POST,profileResultQuery,Query profile operation result,"Query the result of an asynchronous profile operation (download, enable, disable, delete) using the task ID returned from a previous operation request."
camara,eSimRemoteManagement,/profile/oper,POST,profileOperation,Perform profile operation,"Perform lifecycle operations on an eSIM profile including enable, disable, or delete. This is an asynchronous operation that returns a task ID for status tracking."
camara,eSimRemoteManagement,/profile/downloaded-list,POST,profileList,Query downloaded profile list,"Retrieve a list of all eSIM profiles currently downloaded on the device, including their status (enabled/disabled), ICCID, and other metadata."
camara,eSimRemoteManagement,/profile/download,POST,profileDownload,Download profile,Download and optionally install a new eSIM profile to the device. This is an asynchronous operation that returns a task ID for status tracking.
holdout1,twilio,/2010-04-01/Accounts.json,POST,CreateAccount,Create a new Twilio Subaccount from the account making the request,Create a new Twilio Subaccount from the account making the request
holdout1,twilio,/2010-04-01/Accounts/{Sid}.json,POST,UpdateAccount,Modify the properties of a given Account,Modify the properties of a given Account
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Addresses.json,POST,CreateAddress,,
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,POST,UpdateAddress,,
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Addresses/{Sid}.json,DELETE,DeleteAddress,,
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Applications.json,POST,CreateApplication,Create a new application within your account,Create a new application within your account
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,POST,UpdateApplication,Updates the application's properties,Updates the application's properties
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Applications/{Sid}.json,DELETE,DeleteApplication,Delete the application by the specified application sid,Delete the application by the specified application sid
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Calls.json,POST,CreateCall,"Create a new outgoing call to phones, SIP-enabled endpoints or Twilio Client connections","Create a new outgoing call to phones, SIP-enabled endpoints or Twilio Client connections"
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,POST,UpdateCall,Initiates a call redirect or terminates a call,Initiates a call redirect or terminates a call
holdout1,twilio,/2010-04-01/Accounts/{AccountSid}/Calls/{Sid}.json,DELETE,DeleteCall,"Delete a Call record from your account. Once the record is deleted, it will no longer appear in the API and Account Portal logs.","Delete a Call record from your account. Once the record is deleted, it will no longer appear in the API and Account Portal logs."
